captured_at_utc,run_label,sensor_under_test,known_distance_mm,cycle_id,s1_distance_mm,s1_valid,s1_sample_time_ms,s2_distance_mm,s2_valid,s2_sample_time_ms,s3_distance_mm,s3_valid,s3_sample_time_ms,scan_span_ms
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5345,511.4,True,567511,515.7,True,567546,504.2,True,567582,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5346,511.1,True,567617,515.7,True,567653,504.2,True,567688,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5347,511.1,True,567723,515.7,True,567759,507.8,True,567793,70
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5348,511.1,True,567829,515.5,True,567865,504.0,True,567899,70
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5349,511.1,True,567935,515.7,True,567971,504.2,True,568005,70
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5350,511.1,True,568041,515.5,True,568076,504.0,True,568112,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5351,511.1,True,568147,515.7,True,568183,507.8,True,568218,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5352,510.9,True,568253,515.7,True,568289,507.8,True,568324,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5353,510.9,True,568359,515.7,True,568395,504.2,True,568430,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5354,511.1,True,568465,515.5,True,568501,504.2,True,568535,70
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5355,510.9,True,568571,515.5,True,568606,507.6,True,568642,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5356,510.9,True,568677,515.5,True,568713,504.0,True,568748,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5357,510.9,True,568783,515.7,True,568819,504.0,True,568853,70
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5358,511.1,True,568889,515.7,True,568924,504.0,True,568960,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5359,510.9,True,568995,515.5,True,569031,504.0,True,569066,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5360,511.2,True,569101,515.7,True,569137,504.0,True,569172,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5361,511.1,True,569207,515.7,True,569243,504.2,True,569277,70
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5362,511.1,True,569313,515.5,True,569349,504.2,True,569384,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5363,511.1,True,569419,515.5,True,569455,504.2,True,569490,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5364,511.1,True,569525,515.5,True,569560,503.9,True,569596,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5365,511.1,True,569631,515.7,True,569667,504.4,True,569701,70
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5366,516.0,True,569737,515.5,True,569773,504.2,True,569808,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5367,516.0,True,569843,515.9,True,569879,504.2,True,569913,70
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5368,511.1,True,569949,515.7,True,569985,504.2,True,570020,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5369,510.9,True,570055,515.7,True,570091,504.2,True,570126,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5370,511.1,True,570161,515.7,True,570197,504.0,True,570232,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5371,511.1,True,570267,515.7,True,570303,504.2,True,570338,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5372,511.1,True,570373,515.7,True,570408,504.2,True,570444,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5373,511.2,True,570479,515.7,True,570515,504.2,True,570550,71
